graph3,graph1,graph2
6054,766,1838
6465,1500,1911
6507,2334,1948
7335,2433,2478
9994,2825,2538
10835,3054,2958
12629,3240,2825
13601,3240,2978
14120,3201,2934
16964,3351,3498
17104,3630,3421
16957,3869,3351
16828,4131,3547
16930,4228,3722
17567,4456,3984
18174,5189,4124
18276,5383,3868
18179,5313,3876
18903,5602,3837
18898,5802,3807
24629,5982,4408
25402,6048,4197
25640,6181,4296
25678,6372,4320
25647,6761,4320
25561,7047,4258
25667,7574,4216
25819,8152,4379
25657,8340,4712
25694,8524,4673
25963,8544,4942
25851,8790,4814
25953,8987,4665
25741,9376,4883
25907,9501,4813
25928,9416,4744
26334,9740,5309
26224,9649,5232
26111,9643,5174
25927,10070,5279
26360,10399,5602
26176,10533,5488
25901,10803,5574
26038,10875,5494
26151,11348,5543
26260,11580,5600
25980,11696,5591
26085,11810,5538
26107,12098,5514
26027,12138,5675
26181,12243,6176
25991,12430,5762
25749,12531,5695
26353,12793,5823
26160,12895,5768
26009,12874,5997
25973,12955,6061
25886,12989,6554
25767,13051,6538
25972,13161,6720
26309,13167,6682
26123,13290,7535
26729,13371,7581
27179,13561,7611
27144,13548,7511
27253,13662,7479
27602,13601,7636
27398,13644,7495
27337,13564,7514
27402,13775,7622
27307,13807,7531
27215,13928,7783
27167,14010,7717
26973,14229,7737
27171,14147,7827
26801,14701,7786
27085,14859,8994
27146,14930,8026
26954,14966,8007
27102,14886,8118
26907,15118,8249
27014,15204,8279
26821,15256,8345
26823,15373,8324
26735,15505,8435
26652,15723,8394
26960,15786,8337
26891,15792,8511
26709,15910,8362
26615,15794,8474
26796,16114,8333
27100,16043,8493
27075,16115,8666
27012,16369,8341
26944,16288,8329
26854,16540,8660
27447,16795,8580
27261,16946,8664
27385,17084,8518
27188,17029,8436
22929,17081,8478
22290,17195,8477
22610,17242,8554
19774,17370,8397
18413,17432,8346
21494,17423,8831
24033,17527,8457
23669,17651,8674
23927,17614,8397
22557,17815,8258
22437,17728,8210
22629,17883,8278
22584,17914,8454
22613,18048,9238
22418,18291,8516
22094,18387,8346
22345,18498,8382
22895,18609,8415
23913,18524,9800
27202,18721,8592
28351,18672,9109
26103,18786,8659
26260,18728,9380
25781,18922,8606
25814,19350,8803
25601,19570,8827
25609,19548,8583
25113,19597,8806
24318,19425,8785
25202,19664,8777
24461,19746,8813
25199,19557,8832
24610,19608,8829
25070,19275,8745
24622,19289,8751
24496,19303,9077
24642,19356,8796
24567,19509,10229
24551,19289,8690
24608,19282,8591
24556,19357,8881
24550,19318,8867
24519,19053,9528
24511,19202,8731
24543,19830,8532
24563,19742,8515
23823,19779,9566
24071,19658,8697
24109,19547,8396
23671,19545,8999
23638,19401,9123
23671,19335,8884
24056,19505,8894
23861,19103,8706
24058,19223,9292
23973,19418,8959
24596,19294,9436
24842,19377,8834
24867,19341,8937
24002,19329,8894
24450,19364,8864
24436,19260,8431
24620,19427,8693
23740,19393,8757
24056,19601,8757
24135,19408,8781
23703,19562,8826
24195,19437,8801
24049,19631,8960
24046,19433,8758
24082,19332,8696
24067,19361,8945
24152,19268,9036
24065,19103,8745
24055,19134,8713
24044,18912,9056
23962,18903,8669
24041,19120,9239
23958,18940,9261
24041,19149,8529
24107,19010,8790
24089,18947,8646
24137,18804,8556
24077,18947,8589
24123,19038,8629
24105,18827,8711
24086,18897,8748
24020,19066,8735
24085,18993,8687
24109,18954,8617
24085,18868,8719
24166,18862,8513
24132,18756,8546
23987,18736,9217
24205,18784,8649
24303,18585,8904
24339,18536,8829
24329,18420,8558
24804,18644,8458
25783,19011,8493
20447,18751,8934
20387,18845,8485
20100,18679,8533
16059,18662,9188
20429,18348,8578
21699,18789,8693
20949,18436,8486
20984,18632,8280
21049,18443,8242
20816,18545,8867
20840,18586,8947
20429,18355,8255
19984,18080,9731
20509,18768,8037
20480,18373,8035
20431,18262,9498
21122,18361,8196
20676,18327,9049
22843,18295,8526
22623,18384,8438
25427,18256,9067
24327,18318,7858
24215,18312,7870
24395,18287,7891
24261,18247,9227
24311,18159,8224
24280,17875,7987
24333,17752,7613
24153,17675,7863
24192,17818,7559
24332,17677,9728
24269,17803,7399
24222,17727,7452
24210,17621,7505
23747,17596,9141
24261,17790,8211
23745,17396,7695
23593,17292,7768
23567,17595,8098
23671,17577,8233
23557,17567,9617
23446,17372,8555
23555,17389,8365
23534,17198,9404
23480,17086,7088
22735,17111,7537
22506,17174,7697
22495,16929,7457
22580,16767,6638
22844,16771,6452
22535,16726,6540
22484,16577,6587
22600,16483,6271
22640,15974,6248
22687,16301,6337
22618,16289,6255
24210,16028,6310
24019,16202,5780
23901,16248,6261
23870,16229,5885
23862,16100,6662
23852,16143,5913
23504,16183,5938
23471,16165,6052
23154,15699,6311
23580,15454,6083
23384,15705,5457
23874,15457,5066
23654,15480,4353
23572,15073,6006
23409,15068,5688
23356,14988,4203
23390,15042,4157
23490,14961,3739
23353,14832,6272
23388,14889,5624
23268,14943,2743
23568,14520,5845
23538,14707,5519
23615,14885,4701
23849,14415,5144
23834,13967,3884
23831,14344,3816
23676,13805,6384
23641,14233,4618
24465,14103,6006
24426,13939,4794
24492,13788,4730
24355,14122,4464
24334,13817,3787
24410,13634,4821
24287,13415,5014
24278,13612,4468
24478,13336,5652
24460,13278,4875
24074,13298,5063
24948,13093,4070
24555,13122,5425
23812,13033,5842
21830,12762,4152
